task,stage,model_family,family,specification,model_id,representation,quantile,cohort,origin,fold,n_train,n_evaluation,train_order_id_sha256,evaluation_order_id_sha256,test_order_id_sha256,parameters_json,numeric_features_json,categorical_features_json,ordered_feature_sha256,fitted_model_sha256,model_hash_type,best_iteration,source_model_frame_sha256,direct_config_sha256
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""C"":0.1,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,b12ada43e53530b004513d5f927e9df499dd4bb0c2187175a0c058f0bba3af11,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""C"":1.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,042089dbc4d603ccba0d3e9abbdc31f64982b19ab4419b097e74bbabda3cfb48,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,fa3c6275aa1f9e9d8e91ac9e21703b201dd36941f4e0391e1c6203d789a68d7c,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_tuning,xgboost,xgboost,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""colsample_bytree"":0.8,""early_stopping_rounds"":50,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":800,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,ee67b22f2f88aa5e7b4ce8c5c2d3142aca54b9bb2b673f2e6446bfa04bc989b6,sha256_pickle_protocol_5_fitted_wrapper,0,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_tuning,xgboost,xgboost,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""colsample_bytree"":0.8,""early_stopping_rounds"":50,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":20.0,""n_estimators"":800,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,a79e4cbfaf7c4efe17f4052345438abf2639a653b79745a558d5f5f2217102a3,sha256_pickle_protocol_5_fitted_wrapper,0,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_tuning,xgboost,xgboost,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""colsample_bytree"":0.8,""early_stopping_rounds"":50,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":6,""min_child_weight"":5.0,""n_estimators"":800,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,e605eb0bb1ae5fdf35e97a7b53e461dc9767a462926185cd181543658912df62,sha256_pickle_protocol_5_fitted_wrapper,0,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_tuning,xgboost,xgboost,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""colsample_bytree"":0.8,""early_stopping_rounds"":50,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":6,""min_child_weight"":20.0,""n_estimators"":800,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,9313082517f0848c18ed9212fe12bb631feec28d56fec8cdcfad6109c35d2406,sha256_pickle_protocol_5_fitted_wrapper,0,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_tuning,xgboost,xgboost,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""colsample_bytree"":0.8,""early_stopping_rounds"":50,""eval_metric"":""logloss"",""learning_rate"":0.05,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":800,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,e6fb89c72e2cd04fcdbce7e36cd23041ecf6905bab872b35fb93090821a32dc1,sha256_pickle_protocol_5_fitted_wrapper,0,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_tuning,xgboost,xgboost,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""colsample_bytree"":0.8,""early_stopping_rounds"":50,""eval_metric"":""logloss"",""learning_rate"":0.05,""max_depth"":3,""min_child_weight"":20.0,""n_estimators"":800,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,ae62bb76c1d7524c667cc2e93da7ba3228b05bcecc8b51fd03ab1afe3338818c,sha256_pickle_protocol_5_fitted_wrapper,0,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_tuning,xgboost,xgboost,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""colsample_bytree"":0.8,""early_stopping_rounds"":50,""eval_metric"":""logloss"",""learning_rate"":0.05,""max_depth"":6,""min_child_weight"":5.0,""n_estimators"":800,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,a3964b528bb3af748082cb998770cfc4f49ea735a2b4e471fd1b81a33f20d44b,sha256_pickle_protocol_5_fitted_wrapper,0,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_tuning,xgboost,xgboost,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""colsample_bytree"":0.8,""early_stopping_rounds"":50,""eval_metric"":""logloss"",""learning_rate"":0.05,""max_depth"":6,""min_child_weight"":20.0,""n_estimators"":800,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,9cd114e953537eae2b3cd6393f188f16d8dc58cb435d9f5267986875bee9244f,sha256_pickle_protocol_5_fitted_wrapper,0,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,logistic_l2,logistic_l2,DP0,DP0,full,,2018-01,2018-01-01 00:00:00,,35981,7069,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,logistic_l2,logistic_l2,DPB,DPB,full,,2018-01,2018-01-01 00:00:00,,35981,7069,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],a0454aa702bc9350c7e026aecaf277c55a2b1f3ba8cdb7fc41bd7869195f33b0,57943f75a2d0f9777a4efa05946db9096d4f33b3b726106f0f1aee51573a8f05,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,logistic_l2,logistic_l2,DPG,DPG,full,,2018-01,2018-01-01 00:00:00,,35981,7069,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],55592a9c7809091ef26b0d7746c6992457e035aec9ee88f8469c73ec59a57b49,d44e1bb6074f7752424e2bf7de4a58936812aed0c1dd7dd20f4361b85d4b3947,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,logistic_l2,logistic_l2,DPS,DPS,full,,2018-01,2018-01-01 00:00:00,,35981,7069,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days""]",[],94151faa7df685010a340beef27998ed0590545d3c929a0e725a31e63da5100f,79caf4f9a33a95b860427a8fede3db8a80fb3b9a6210fa8fcf2b17a79d859d02,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,xgboost,xgboost,DP0,DP0,full,,2018-01,2018-01-01 00:00:00,,35981,7069,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,xgboost,xgboost,DPB,DPB,full,,2018-01,2018-01-01 00:00:00,,35981,7069,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],a0454aa702bc9350c7e026aecaf277c55a2b1f3ba8cdb7fc41bd7869195f33b0,86a7f8d92ace33260a342f47ed7afdd68157dc28f60ecaec98f3704f9f5111e6,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,xgboost,xgboost,DPG,DPG,full,,2018-01,2018-01-01 00:00:00,,35981,7069,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],55592a9c7809091ef26b0d7746c6992457e035aec9ee88f8469c73ec59a57b49,f0ffe4452ab348b733184f5d749e4c4ec655940e204c9fbc3d9df0bd121bc1e9,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,xgboost,xgboost,DPS,DPS,full,,2018-01,2018-01-01 00:00:00,,35981,7069,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days""]",[],94151faa7df685010a340beef27998ed0590545d3c929a0e725a31e63da5100f,f33bb420e427da45e831191b3cba099d0cf9d8baa1848508a2fcb8a13e9e1a1c,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,logistic_l2,logistic_l2,DP0,DP0,full,,2018-02,2018-02-01 00:00:00,,42578,6555,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,a8cb8604f0f776858c5ecab45050abee97323f894e0032a566c1ebbfb1d8035c,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,logistic_l2,logistic_l2,DPB,DPB,full,,2018-02,2018-02-01 00:00:00,,42578,6555,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],a0454aa702bc9350c7e026aecaf277c55a2b1f3ba8cdb7fc41bd7869195f33b0,9443d164e5e393404315e15625287839412c845d51a1635fc89d6beaea79c1a3,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,logistic_l2,logistic_l2,DPG,DPG,full,,2018-02,2018-02-01 00:00:00,,42578,6555,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],55592a9c7809091ef26b0d7746c6992457e035aec9ee88f8469c73ec59a57b49,e4d3eea2aa85bb97789ac237a611c126c1bd820e4fe37ef2e90f640e27c6c8a7,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,logistic_l2,logistic_l2,DPS,DPS,full,,2018-02,2018-02-01 00:00:00,,42578,6555,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days""]",[],94151faa7df685010a340beef27998ed0590545d3c929a0e725a31e63da5100f,e0a7b8c16683aca61dfb68dd0becd99eda5f20940a80352f0cf2452952037c39,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,later_evaluation,xgboost,xgboost,DP0,DP0,full,,2018-02,2018-02-01 00:00:00,,42578,6555,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,d73b829acd99738a4439a9617c00d6c1853264dafc0ddc6eba6af6485003e07a,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
